name	description	region	lookup_charity_code_id	featured	top_recommended	syw_altkey	temp_icon_filename
"""I Have a Dream"" Foundation"	"Founded in 1986 by businessman Eugene M. Lang, the ""I Have A Dream"" Foundation empowers children in low-income communities to achieve higher education and fulfill their leadership potential by providing them with guaranteed tuition support and equipping them with the skills, knowledge, and habits they need to gain entry to higher education and succeed in college and beyond. By helping our Dreamers gain access to college, we are putting our Dreamers on a different academic and life trajectory. We sponsor entire grade levels of 50-100 students in under-resourced public schools or housing developments and work with these Dreamers from early elementary school all the way through high school. Upon high school graduation, each Dreamer receives guaranteed tuition assistance for higher education."	Arizona	2	0	0	10156	IHaveADreamFoundation.gif
Advocates for Children of New York	"Advocates for Children (AFC) of New York promotes access to the best education New York can provide for all students, especially students of color and students from low-income backgrounds. We use uniquely integrated strategies to advance systemic reform, empower families and communities, and advocate for the educational rights of individual students. Our services include individual case advocacy, a helpline to assist parents and professionals, and workshops."	New York	6	0	1	10130	AdvocatesForChildrenofNewYork.jpeg
ALSAC - St. Jude Children's Research Hospital	"ALSAC (American Lebanese Syrian Associated Charities) was founded in 1957 and exists for the sole purpose of raising funds to support the operating and maintenance of St. Jude Children's Research Hospital. The mission of St. Jude Children's Research Hospital is to find cures for children with cancer and other catastrophic diseases through research and treatment. It is supported primarily by donations raised by ALSAC. Research efforts are directed at understanding the molecular, genetic and chemical bases of catastrophic diseases in children; identifying cures for such diseases; and promoting their prevention. Research is focused specifically on cancers, some acquired and inherited immunodeficiencies, sickle cell disease, infectious diseases and genetic disorders."	Ohio	7	0	1	10125	ALSACSt. JudesChildrensResearchHospital.jpg
Alex's Lemonade Stand	tbd		7	0	1	10178	AlexsLemonadeStand.jpg
America SCORES	"America SCORES empowers students in urban communities using soccer, writing, creative expression, and service-learning. With teamwork as the unifying value, we inspire youth to lead healthy lifestyles, be engaged students, and become agents of change in their communities. We develop programs that use the world's most popular sport, soccer, to energize and inspire public school students. All of our programs require that our children use the teamwork they learn on the soccer field to support each other as poets and authors in the classroom. The combination is unique and it works. Every day, SCORES programs are creating a bond between thousands of our students and their classmates, their teachers, their schools and their communities."	Pennsylvania	10	0	1	10131	AmericaSCORES.jpg
American Cancer Society	"Founded in 1913 by 15 well-known doctors and business leaders in New York City, the American Cancer Society (ACS) is the nationwide community-based voluntary health organization dedicated to eliminating cancer as a major health problem by preventing cancer, saving lives, and diminishing suffering from cancer, through research, education, advocacy, and service. The American Cancer Society consists of a National Home Office with 13 chartered Divisions throughout the United States and a presence in most communities. More than two million volunteers carry out the Society's mission of eliminating cancer and improving quality of life for those individuals facing the disease."	National (U.S.)	5	1	1	10105	AmericanCancerSociety.jpg
American Foundation for Disabled Children	"Founded in 1991, the American Foundation for Disabled Children works to encourage and maximize the development, productively, dignity and social interaction of challenged and disadvantaged children within society at large. Our programs include: resources for homeless and challenged children; Braille and large print books for the visually challenged; and camps and outdoor experiences."	Ohio	8	0	1	10132	AmericanFoundationForDisabledChildren.gif
American Red Cross	"Since its founding in 1881 by visionary leader Clara Barton, the American Red Cross has been the nation's premier emergency response organization. As part of a worldwide movement that offers neutral humanitarian care to the victims of war, the American Red Cross distinguishes itself by also aiding victims of devastating natural disasters. Over the years, the organization has expanded its services, always with the aim of preventing and relieving suffering. Today, in addition to domestic disaster relief, the American Red Cross offers compassionate services in five other areas: community services that help the needy; support and comfort for military members and their families; the collection, processing and distribution of lifesaving blood and blood products; educational programs that promote health and safety; and international relief and development programs."	National (U.S.)	1	1	1	10101	AmericanRedCross.jpg
Association to Benefit Children	"Association to Benefit Children (ABC) is dedicated to bringing joy and warmth to disadvantaged children and their families through compassionate, sustainable, comprehensive and integrated services, designed to permanently break the cycles of abuse, neglect, sickness and homelessness. ABC's humane and innovative programs include early educational advocacy, housing assistance, mental health services, family support and preservation, crisis intervention, therapeutic out-of-school and summer day camp programs, youth leadership development and mentoring."	Ohio	9	0	1	10133	AssociationToBenefitChildren.jpg
Baby Buggy	"Baby Buggy is dedicated to providing New York City's (NYC) families in need with essential equipment, clothing, and products for their infants and young children. Since 2001, Baby Buggy has delivered over 3,500,000 essential items to thousands of families through our network of over 50 qualified social service partners. Today, over 500,000 children live in poverty in NYC. Baby Buggy's goal is to help them access the essentials they need to ensure their safety and well-being. By providing concrete resources to their families through our network of social service professionals, we help alleviate the stress of living in poverty, and we help prevent crisis."	New York	3	0	1	10123	BabyBuggy.jpg
